date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:08	12524/12524	---M-Z	200	added ('OK')	image/svg+xml	etag:%2230ec-6628ef45-974b93976645126;gz%22	https://html.themewant.com/studykids/assets/images/icon/36.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/36.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:09	10313/10313	---M-Z	200	added ('OK')	image/svg+xml	etag:%222849-6628ef45-749709a4ce20cb42;gz%22	https://html.themewant.com/studykids/assets/images/icon/37.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/37.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:09	9008/9008	---M-Z	200	added ('OK')	image/svg+xml	etag:%222330-6628ef45-6ba6c0cb07684ed4;gz%22	https://html.themewant.com/studykids/assets/images/icon/38.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/38.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:09	622876/622876	---M--	200	added ('OK')	image/jpeg	etag:%229811c-6628ef45-4ffdcb19048a76fd;;;%22	https://html.themewant.com/studykids/assets/images/course/26.jpg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/course/26.jpg	(from https://html.themewant.com/studykids/index-four.html)
10:07:09	23250/23250	---M-Z	200	added ('OK')	image/svg+xml	etag:%225ad2-6628ef45-f60abb12e85276cc;gz%22	https://html.themewant.com/studykids/assets/images/icon/39.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/39.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:10	9678/9678	---M-Z	200	added ('OK')	image/svg+xml	etag:%2225ce-6628ef45-2ea831bf03906cf;gz%22	https://html.themewant.com/studykids/assets/images/icon/40.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/40.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:10	11558/11558	---M-Z	200	added ('OK')	image/svg+xml	etag:%222d26-6628ef45-d81ed9d401450711;gz%22	https://html.themewant.com/studykids/assets/images/icon/41.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/41.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:10	12383/12383	---M-Z	200	added ('OK')	image/svg+xml	etag:%22305f-6628ef45-39ecaa266fb675a0;gz%22	https://html.themewant.com/studykids/assets/images/icon/42.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/42.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:11	131760/131760	---M--	200	added ('OK')	image/png	etag:%22202b0-6628ef45-2e8a60309dc807c;;;%22	https://html.themewant.com/studykids/assets/images/service/service-05.png	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/service/service-05.png	(from https://html.themewant.com/studykids/index-four.html)
10:07:11	2106/2106	---M-Z	200	added ('OK')	image/svg+xml	etag:%2283a-6628ef45-4c879ef1d5f5beea;gz%22	https://html.themewant.com/studykids/assets/images/icon/round-shape.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/round-shape.svg	(from https://html.themewant.com/studykids/index-four.html)
